State,Latitude,Longitude,Total reported direct emissions
IA,41.17,-95.79,103280.312
IN,40.84,-84.93,72018.528
OH,40.84,-84.34,23501.712
IA,40.74,-91.12,1140144.922
TX,26.58,-98.19,5241.25
FL,28.08,-81.93,1239159.828
MI,42.36,-85.01,52722.4
GA,31.95,-84.33,143322.89
IN,39.76,-86.17,204073.086
TX,32.27,-101.42,143825.768
LA,29.73,-91.48,308671.62
LA,30.75,-92.25,290261.26
OK,36.23,-95.28,102161.166
TX,32.54,-94.40,6863.396
AZ,32.77,-111.32,18362.498
MI,44.27,-85.41,42886.176
CA,34.14,-118.71,56729.872
LA,30.13,-93.32,165163.65
KY,38.34,-82.59,43543.14
CA,36.73,-119.79,36048.264
CA,36.01,-119.31,45674.128
CA,37.49,-120.89,38059.656
CA,36.34,-119.39,67468.996
CA,34.08,-117.50,167893.668
PA,41.00,-79.72,31804.364
LA,32.59,-93.52,103195.984
LA,32.80,-93.41,93998.852
LA,32.47,-93.79,527986.264
NJ,39.91,-75.12,137577.936
TX,33.04,-96.95,102288.25
NM,31.81,-106.59,55041
OH,41.41,-84.14,80324.398
NC,34.77,-79.33,55495.392
CA,38.48,-121.80,39800.2
OK,35.35,-96.80,13329
MS,32.60,-90.07,37615.25
NJ,39.23,-74.77,149412.684
TX,29.55,-98.42,464200.738
DC,38.88,-77.01,66442.736
GA,33.82,-84.65,100544.736
AL,31.88,-85.16,13567.648
GA,32.85,-83.16,15333.792
GA,32.85,-83.13,16077.14
MI,42.77,-85.07,73337.17
OH,41.00,-80.53,88191.248
IN,40.19,-84.86,186523.748
WI,43.56,-89.50,127979.704
WI,44.91,-91.88,118580.932
NC,35.64,-80.79,109109.172
TN,36.50,-82.78,137865.94
OK,34.00,-96.45,121443.736
CO,40.46,-104.87,34893.868
GA,34.29,-83.81,46037.476
ND,46.37,-96.66,53469.764
KS,37.71,-97.33,46620.724
IA,41.14,-92.64,386067.796
OH,41.04,-81.55,49160.664
OH,40.28,-84.19,62863.164
IA,41.97,-91.65,100430.172
KS,38.04,-97.92,42836.688
OH,39.82,-84.17,171907.952
AL,34.35,-86.29,34410.52
NY,42.38,-76.86,49567.464
KS,37.74,-99.95,67831.146
CO,40.25,-103.78,53232.61
MI,42.82,-82.49,69805.788
CA,33.89,-118.16,25946.652
AL,33.22,-86.79,595353.55
WI,44.17,-87.70,168739.146
KY,38.84,-84.24,1123261.092
MI,42.28,-83.13,395042.964
OH,41.75,-81.28,270993.036
OH,41.22,-83.21,541064.108
NC,35.51,-80.33,113705.214
PA,40.36,-75.94,150750.756
IA,42.08,-94.90,41109.198
TN,36.53,-82.72,29534.398
OR,44.38,-123.16,53632.754
OR,45.23,-123.16,68457.352
WY,42.87,-106.28,11877.25
IL,40.56,-89.75,180504.83
IN,40.42,-86.85,27968.916
AZ,33.80,-111.99,20011.5
KY,37.06,-88.35,180619.642
TN,35.46,-86.84,22000.794
TN,36.02,-83.83,495924.76
CO,40.20,-105.24,292008.788
CA,34.40,-117.15,2062274.206
TX,29.68,-98.18,1144444.12
FL,25.79,-80.42,684728.02
GA,32.42,-83.63,361756.086
AL,32.51,-87.82,515652.22
IN,39.48,-86.99,22612
MN,46.00,-94.86,38270.652
MN,44.57,-95.12,30391.364
IA,43.39,-93.57,17108.4
MI,43.59,-84.77,41953.692
IN,40.56,-85.73,134448.644
HI,20.86,-156.42,61762.75
MO,38.72,-93.30,121855.25
AK,59.64,-151.57,54768.492
AK,70.28,-148.66,801343.396
MD,38.22,-75.34,114493.5
MI,43.33,-85.51,43287.448
KY,37.94,-86.79,782022.751
NM,35.01,-106.88,194513.4
MI,46.76,-88.46,24504.208
KS,39.14,-94.62,48030.088
CA,37.09,-120.23,60953.196
WV,39.82,-80.81,71276.232
KY,38.72,-85.09,68188.944
AR,34.07,-93.90,47749.72
WA,47.55,-122.34,55215.692
CO,38.23,-104.61,291434.272
LA,30.09,-90.96,9052754.262
MS,32.93,-90.41,2090197.216
IA,42.33,-96.36,2764237.958
VA,36.76,-80.75,38864.65
IN,39.68,-85.73,204263.192
IL,38.75,-90.16,3775.75
CA,35.45,-119.09,8694.568
LA,29.96,-89.95,1565594.094
MS,32.23,-89.37,55149.75
TX,29.83,-95.11,2071439.832
VA,37.18,-77.45,140044.56
TX,32.46,-97.04,272784.264
MD,38.57,-76.88,72609.85
TX,32.96,-96.53,205602.298
SC,32.82,-80.11,134528.5
FL,26.79,-81.96,129739.208
NC,35.22,-80.86,54530.672
WI,43.40,-87.95,148804.968
OH,41.44,-81.66,143122.512
AL,31.05,-88.04,17206.5
NJ,39.68,-75.49,50562.258
NC,34.83,-78.82,49966.26609
MS,30.39,-89.31,809374.188
AR,33.11,-92.68,84122.247
KY,38.21,-85.84,2689861.81
WV,39.27,-81.66,592697.795
NY,42.03,-76.68,29051.9
AK,64.85,-147.73,311668.668
AL,34.80,-87.94,459227.658
GA,30.71,-82.06,51029
TN,36.11,-84.03,40337.15
PA,39.89,-79.84,21671.1
TX,29.08,-95.74,1268524.698
TX,29.85,-93.98,830498.56
CA,37.94,-122.40,4335143.406
UT,40.82,-111.92,477701.052
CA,33.91,-118.41,3430789.864
WY,41.15,-105.01,66064.25
MA,42.17,-72.54,6254.398
NE,40.59,-98.32,154456.594
OH,39.14,-84.50,31675.8
MN,45.33,-95.64,72327.188
CA,34.43,-118.65,163207
LA,30.84,-90.04,48679.75
CA,37.11,-120.28,24263.308
PA,40.66,-75.23,77761
MO,38.88,-91.39,26770.648
MT,45.66,-108.77,934398.262
MN,44.16,-94.03,76921.86
KS,38.35,-97.67,1243118.09
MN,43.67,-94.51,50417.058
IL,41.90,-89.03,189124.88
AK,61.19,-151.04,7728.33
CA,34.16,-118.99,6782.524
IL,41.64,-87.57,14393.996
TX,27.81,-97.50,369360.552
TX,27.81,-97.43,824193.018
LA,30.19,-93.33,4194226.866
FL,28.93,-82.49,98348
FL,27.91,-81.60,58694.028
HI,21.34,-158.12,47607.5
NC,35.32,-80.17,59591.75
TX,35.23,-102.02,93302.5
LA,30.55,-91.20,59247
TX,30.04,-94.13,251792.75
TN,35.19,-85.08,51376.5
TN,35.05,-85.09,68741.75
AR,35.33,-92.76,96772.75
TX,32.10,-96.42,100865
TX,33.19,-97.09,91216.5
TX,26.40,-98.13,106855.25
NV,40.84,-115.73,36925.2
ND,46.88,-96.87,171701.5
AZ,35.31,-111.52,96436.5
TX,32.65,-97.24,142161
TX,32.93,-96.58,57649.5
AZ,33.54,-112.30,60601.5
TX,32.77,-96.96,104656
NC,36.11,-79.72,156615
GA,33.05,-84.96,10360.25
UT,41.73,-111.89,54487.25
CA,34.63,-120.48,18679.5
MI,43.63,-84.17,145668.87
IA,41.48,-90.94,42418
AZ,33.71,-112.13,22733.75
AZ,33.42,-112.12,11050
TX,32.68,-100.81,32904.5
GA,31.36,-83.54,58890.75
CA,36.91,-121.83,815.75
MI,42.11,-83.49,9217.75
PA,41.23,-79.42,60968.734
IN,38.46,-85.84,31796.75
AK,64.29,-149.16,6159.998
TX,29.63,-95.06,771401.376
ID,46.43,-116.97,306325.968
AR,33.71,-91.24,221042.14
SC,34.69,-82.84,27061.648
NC,35.30,-81.55,135704.75
OH,41.51,-81.68,55948.84
PA,39.98,-75.83,149470.436
PA,40.09,-75.32,5696.728
IL,41.66,-87.63,149832.092
MI,42.30,-83.16,1146388.758
FL,26.73,-80.94,44576.246
TX,31.60,-106.17,226817
PA,41.16,-77.35,91871.45
IN,40.33,-86.56,55291.35
NY,44.69,-73.59,21124.008
IA,41.86,-90.26,38080.198
IL,40.11,-88.96,87884.75
NM,34.39,-103.18,45437.5
TN,35.98,-83.96,89981.36
AZ,33.29,-111.59,60956.792
FL,30.29,-81.98,96233.808
NJ,40.48,-74.32,66529.116
OK,34.00,-96.40,44144.94
SC,33.96,-81.05,104370.894
TX,29.41,-95.20,59714.5
NJ,40.63,-74.64,29961.488
AL,31.51,-86.00,209650.75
KS,37.05,-95.61,1674019.8
OR,44.70,-123.22,40982
CA,35.19,-120.60,32829
IL,39.50,-88.29,1237.75
LA,30.15,-90.87,39630
NY,42.80,-73.73,32749.35
CO,40.57,-105.09,43819.382
MT,45.98,-106.66,491021.234
CA,34.05,-117.34,21143.75
MO,39.02,-92.25,35985.078
NY,40.81,-73.96,48501.26
LA,29.68,-91.46,266382.176
GA,32.50,-84.87,31523
PA,40.13,-77.50,63519.596
OK,35.18,-96.55,26487.436
KY,36.81,-87.41,67182.448
MA,42.47,-73.19,28212.016
MA,42.09,-72.59,37366.812
NY,40.76,-73.96,50637.26
VA,37.39,-79.11,67213.8
PA,40.12,-75.90,117413.898
IL,41.87,-87.89,8328.894
WV,37.57,-81.42,3417.25
MN,44.85,-93.29,25235.902
AL,32.43,-84.97,164020.244
OK,36.67,-97.07,294734.884
TX,35.98,-101.89,149183.436
MO,39.68,-91.31,681271.998
IL,38.29,-88.89,65869.252
LA,30.11,-90.90,162269.844
OH,41.03,-83.66,45788.528
AR,33.42,-94.00,41974.792
MS,34.23,-88.71,31523.532
AZ,32.65,-114.04,12045.798
AK,61.08,-146.30,24325.322
IA,42.73,-93.91,94744.144
NY,42.11,-77.16,108954.44
VA,37.17,-80.42,30033.736
NM,32.26,-107.03,34314
NY,42.63,-76.07,32292.8
OH,40.22,-81.83,18124
IL,38.26,-89.78,66838.65
IN,37.93,-87.90,213874.214
IL,42.35,-88.04,64162.146
PA,41.39,-79.29,5846.15
OH,40.91,-83.33,27069.85
IN,41.17,-86.23,89390.948
OH,40.67,-81.42,37795.2
MO,39.14,-94.40,80442.45
VA,38.80,-77.13,119283.354
NY,40.73,-73.38,93250.456
CT,41.65,-72.91,84853.224
IN,39.73,-86.19,300441.904
MA,42.77,-71.12,241167.654
NY,40.74,-73.59,351950.54
HI,21.30,-158.11,296714.306
NY,40.88,-73.29,125615.812
FL,28.74,-81.89,65910.102
OR,45.05,-122.96,85696.514
PA,40.10,-75.31,168004.076
WV,39.72,-80.83,24816.306
TN,35.27,-89.98,35603.016
WA,46.11,-122.91,15761.75
OK,34.80,-97.80,32831.738
CA,33.62,-117.83,40041.25
OK,35.61,-95.99,50269.56
NJ,39.84,-75.23,16151.344
NC,36.44,-78.96,41023.084
NC,33.94,-78.01,69232.782
PA,40.42,-78.86,2752835.148
CT,41.48,-73.12,1986828.566
NY,41.43,-74.42,1607635.592
AR,35.72,-90.68,22665
OH,40.81,-82.87,193834.05
AR,35.13,-90.26,75779.35
CA,38.06,-122.21,650693.4
OR,44.30,-120.92,22978.25
ME,44.71,-69.85,25912.336
AK,70.25,-148.35,21446.814
ID,43.44,-116.27,26658.54
TX,32.22,-96.79,90201.75
IL,41.16,-87.85,51124.608
CA,37.33,-121.88,25961.852
NC,35.06,-78.87,67818.5
NJ,39.45,-75.09,32898
FL,28.81,-81.87,18262.232
FL,28.06,-81.80,64029.108
OH,41.37,-81.47,13271.25
IN,39.73,-86.20,21071.32
CA,35.96,-120.01,30230.2
UT,38.26,-109.14,45947.074
AK,70.32,-148.50,3024876.454
AK,70.32,-148.52,2053952.794
TX,30.00,-96.89,35179.354
OK,34.86,-97.83,35781.646
TX,32.33,-97.68,97734.552
LA,30.21,-91.04,61748.268
OH,40.27,-81.02,46491.536
CA,34.39,-118.80,20429.784
CA,35.24,-119.36,1473037.4
TX,33.15,-102.99,145685.73
OK,35.54,-98.10,130137.038
OK,36.58,-98.53,12930.864
WY,41.26,-110.98,155451.438
TX,32.17,-94.42,79498.522
TX,32.15,-94.27,14755.148
OK,35.75,-97.66,31731.228
OK,34.87,-96.05,30032.098
TX,31.34,-103.03,93596.686
CO,39.83,-108.30,128229.568
TX,30.61,-102.58,15828.93
NM,36.48,-108.12,360520.716
NM,32.63,-103.87,25760.614
TX,32.38,-95.11,11914.758
LA,32.31,-92.46,40425.002
CO,40.13,-104.76,18583.336
OK,36.89,-100.40,38626.47
CO,38.41,-102.76,12438.512
CO,39.85,-108.11,10754.862
WY,41.68,-107.99,18599.632
CO,40.91,-104.89,120112.542
CO,39.75,-104.70,55828.158
WV,38.37,-82.55,69047.548
WV,38.82,-79.84,70590.404
PA,39.72,-79.01,18208.114
WV,38.66,-80.86,6402.746
PA,39.73,-78.42,27921.752
PA,39.86,-80.17,28442.014
LA,32.41,-91.49,159954.18
KY,37.31,-85.06,128151.238
TN,35.64,-87.26,96025.582
LA,30.32,-92.27,100403.156
TN,36.46,-86.18,107295.864
KY,37.89,-83.86,58173.058
MS,33.36,-90.57,126390.5
MS,34.11,-89.66,120282.932
MS,34.96,-88.42,46969.108
PA,40.77,-75.23,36861.116
PA,41.36,-74.82,29904.688
WV,39.48,-80.54,12481.412
MT,46.32,-104.29,28282.536
OH,40.25,-81.02,29667.348
LA,32.20,-92.11,24357.73
OK,35.42,-99.28,13654.014
SC,35.14,-81.44,27485.098
SC,33.55,-81.78,27979.698
OH,39.84,-81.95,218150.34
CT,41.82,-72.16,51169.916
ND,47.93,-103.87,28409.4
LA,31.03,-92.25,74339.28
CO,40.95,-104.80,38986.262
TX,32.38,-99.00,44767.598
OH,39.63,-82.55,25572.066
WV,38.40,-81.42,16823.898
OH,40.71,-82.36,27339.906
NJ,40.08,-74.88,9721.816
GA,34.28,-84.36,19001.78
WV,39.36,-81.30,40988.596
NV,36.12,-115.17,45674.328
NY,40.81,-72.94,935953.092
NM,35.68,-106.09,41561.55
CA,41.63,-86.71,1068989.018
CA,34.60,-117.34,1423755.26
AZ,32.41,-111.15,849023.066
LA,30.16,-93.35,45355.532
MS,33.65,-88.27,1653641.322
AL,33.59,-85.97,33113.473
TX,33.66,-101.78,65021.75
CA,34.13,-118.13,59469.324
CA,34.09,-117.22,7000
CA,37.00,-121.54,50210.7
TX,26.34,-98.17,950733.176
CA,36.23,-121.13,40326.048
CA,39.05,-121.69,734286.368
MT,47.52,-111.29,283599.916
MN,45.60,-93.21,62128.252
GA,30.96,-81.72,95311
NJ,39.92,-75.12,42496.392
WY,44.39,-105.49,35675.15
CA,38.51,-121.47,281891.856
NE,40.69,-99.70,5087.332
MA,41.77,-70.51,145531.386
FL,28.28,-81.53,1418923.344
KY,38.18,-85.89,1770698.488
MN,44.54,-92.91,238381.824
OH,40.78,-81.43,23580.112
OH,40.77,-81.41,537558.868
CA,33.86,-117.86,38659.808
FL,28.47,-80.76,2109981.976
NC,35.60,-79.05,79344.594
AK,58.35,-134.50,12903.844
CT,41.76,-72.69,5295.88
IA,41.96,-92.58,20224.124
KY,38.22,-85.84,38530.796
OH,40.25,-80.65,9791031.27
KS,38.76,-94.83,108639.352
WA,46.54,-122.93,105933.532
TN,35.08,-90.14,27591.692
NE,41.53,-96.10,560993.81
IA,41.98,-91.67,31294.032
IA,42.51,-93.26,58734.428
IA,42.50,-96.39,62767.764
TX,34.60,-102.77,33345.628
PA,41.68,-76.24,23974.02
NE,41.45,-97.10,47006.886
MI,43.83,-85.35,39036.404
IN,41.69,-87.52,71312.872
IN,40.40,-86.90,33096.376
NC,35.09,-78.84,42646.968
IA,42.51,-94.31,226710.996
AR,35.26,-91.36,0
MI,42.09,-83.43,179349.85
TN,36.18,-86.88,89515.192
NJ,39.45,-75.20,7556.172
CA,33.14,-117.33,241354.604
IN,41.60,-87.41,702341.056
NJ,39.69,-75.49,703087.866
PR,18.38,-65.97,71137.85
NC,35.23,-80.24,20046.224
PA,40.30,-79.37,60378.444
NY,43.06,-76.08,72454.48
OH,40.61,-81.07,1901363.404
CA,38.45,-121.46,118108.848
NY,43.98,-75.62,2771.888
OR,45.69,-119.81,1176779.84
MA,41.81,-70.72,26233.05
LA,30.23,-91.07,1244215.34
NY,43.09,-79.01,24219.312
NC,34.95,-79.81,14590.244
WI,44.83,-91.51,24736.756
OR,45.85,-122.80,48232.068
WY,42.85,-106.39,34147.976
NE,40.95,-95.97,123503.792
NY,42.54,-73.74,74518.424
IL,40.68,-89.59,52929.444
WA,47.86,-122.12,5936.348
KY,38.38,-82.60,2137101.536
ND,46.91,-98.62,33965.172
IN,39.92,-87.43,4480614.782
NY,42.60,-76.63,13.2
MD,39.59,-75.92,55924.75
TX,29.75,-94.93,1607389.74
TX,29.75,-94.92,884038.824
WV,37.82,-81.93,38975
GA,33.08,-84.21,58768.75
IA,42.09,-91.56,58346.5
IA,42.09,-91.55,60334.098
FL,27.89,-81.80,332526.25
TX,27.63,-97.57,111197.4
VA,37.35,-80.76,546079.516
OH,40.45,-84.57,52625.65
WI,44.20,-88.52,13140.046
WA,47.61,-122.34,66365.2
OK,35.54,-96.65,39178
AL,32.65,-86.74,1736578.964
FL,27.20,-82.39,111809.75
KY,38.34,-84.55,153636.988
MS,30.71,-89.60,72627
OK,36.19,-95.81,488346.264
MO,39.14,-94.39,766244.79
WA,46.76,-122.86,3484304.572
KY,37.66,-87.50,603891.825
SC,33.05,-80.05,259701.388
OH,39.89,-81.02,180757
WV,38.37,-82.53,216710.492
GA,33.98,-83.33,34674.832
NV,36.05,-115.38,33182.376
NC,36.49,-79.06,34938.268
MD,38.54,-76.69,882116.634
PA,39.87,-77.69,105639.258
TX,29.87,-95.11,37330.16
MO,38.74,-90.46,376856.75
OK,34.89,-95.40,103869.486
TX,29.72,-95.23,2295221.602
TX,29.84,-95.12,3002801.024
KS,37.70,-95.46,133951.704
OK,36.81,-97.13,79858.004
FL,28.05,-81.92,82064.738
WV,38.32,-81.61,132550.398
NC,35.35,-80.68,160698.25
TX,31.75,-102.55,133496.5
CA,36.69,-119.95,1949.5
GA,33.41,-85.04,1200241.152
NY,42.20,-79.31,85716.774
WA,46.62,-122.91,918668.044
TX,27.92,-97.28,63763.5796
WV,38.24,-81.56,104976.964
TN,36.04,-87.98,350895.22
OH,41.68,-83.46,30938.984
AL,33.22,-86.81,495537.65
CO,39.81,-104.96,1383610.92
GA,32.80,-83.64,35182.188
SC,35.07,-81.61,159639.658
OH,40.41,-83.72,73239.1
AR,36.28,-91.63,123024.5
VA,37.38,-77.38,1869804.586
PA,40.54,-79.79,1427048.454
MS,30.34,-88.49,785156.13
LA,29.81,-90.01,140903.82
MS,30.34,-88.49,4627235.23
TX,29.83,-94.92,2334862.492
WY,41.09,-104.91,452804.81
WY,41.13,-104.72,156807.168
CA,35.52,-120.64,16836.75
IL,41.74,-87.99,14603.4
NE,40.75,-99.77,56857.636
MS,33.29,-89.42,1509150.608
AZ,34.94,-110.30,2291549.698
OK,36.22,-95.28,1753253.852
NV,36.39,-114.92,2497841.044
WY,41.71,-109.68,854071.92
MI,42.91,-83.72,48327.75
MO,38.85,-91.95,3.2
AR,35.85,-90.73,20766.572
OH,41.07,-81.53,43227.788
CA,36.94,-119.69,17272.5
KS,37.05,-95.61,383.296
AL,31.24,-85.36,136287.25
SC,34.81,-82.33,26659
TX,32.81,-96.96,136275.25
TX,27.50,-99.40,174249.5
TX,32.00,-102.08,124222
TX,31.65,-94.68,67304
OK,35.60,-95.89,31399.25
TX,35.58,-100.93,28831.5
TX,29.93,-93.94,132837.5
OK,35.37,-94.76,57190
WA,47.63,-117.50,101179.736
GA,30.80,-83.91,99867.25
TX,28.69,-96.91,9655.5
TX,31.49,-97.23,138576.6
TX,33.87,-98.65,143776.25
KY,38.23,-85.78,26104.352
SC,34.16,-79.57,11449.928
NV,36.09,-115.05,515088.372
GA,33.44,-84.31,43495.99
NJ,39.43,-75.02,28525.444
UT,40.74,-112.98,115292.216
CA,35.40,-119.61,26436
TX,29.73,-95.09,25732.682
AR,33.20,-92.63,31870.18
NV,36.23,-115.13,32875.776
NC,35.31,-81.60,77655.008
MA,41.87,-71.11,7657.018
OH,41.50,-81.62,72072.028
NC,35.17,-81.42,502700.15
IN,41.63,-87.13,7517129.818
OH,41.47,-81.67,3637237.632
OH,39.90,-82.95,7374.672
MN,47.56,-92.52,226326.414
PA,40.16,-79.89,46119.264
WV,37.34,-81.09,58823.5
OH,40.21,-81.89,41314.244
IN,37.98,-87.03,107631.644
OH,40.78,-82.52,117381.932
OH,39.50,-84.39,3375590.288
OH,39.96,-82.00,14756.744
PA,40.83,-79.94,250613.454
IN,41.68,-87.43,5616103.79
IN,41.65,-87.46,2719616.132
PA,40.23,-76.85,102985.956
IN,41.70,-86.47,96192.488
OH,41.21,-80.82,164936.7
WV,40.42,-80.60,152261.528
NC,35.22,-81.76,3329380.932
IN,38.74,-85.42,5199893.366
VA,36.93,-82.20,91099.412
NY,43.05,-74.31,20204.5
CA,38.58,-122.53,56401.372
VA,36.87,-78.70,962941.054
ND,47.38,-101.16,9451218.764
NC,34.94,-76.95,121381
AK,58.43,-133.96,46916.288
KS,37.09,-95.59,29657.388
KS,37.05,-95.61,944999.89
AL,34.74,-87.85,14829.89
KY,37.96,-86.79,0
TX,28.71,-97.21,3580070.036
TX,29.29,-96.07,965613.72
TX,29.29,-96.07,2232955.276
CO,38.85,-104.57,166013.2
DE,39.71,-75.61,31727.88
MT,45.88,-106.61,10035340.48
WI,43.49,-89.42,6382227.18
MO,38.97,-92.32,16148.44
SC,33.87,-81.02,1216747.44
GA,32.50,-84.86,99184.5
PA,40.55,-78.80,817672.25
CO,38.21,-104.57,7963531.886
OK,34.54,-98.32,112275.384
VA,37.99,-75.54,28574.536
KY,37.95,-86.85,180759.82
UT,41.27,-112.22,92350.952
PA,41.01,-76.86,32798.376
CA,37.76,-120.84,73667.772
AR,35.28,-93.09,37053.56
WI,43.17,-88.69,110652.06
PA,40.38,-79.06,6959748.788
AK,70.32,-149.61,511828.152
AK,70.29,-149.89,330117.656
AK,70.40,-149.82,317110.856
AK,70.51,-149.87,86474.624
TX,30.31,-95.43,917.5
IN,37.93,-87.87,54124.296
WV,38.94,-81.83,119393.452
NY,41.26,-73.95,61318.42
MI,43.06,-85.95,43247.288
FL,29.74,-81.64,97761.732
KY,39.04,-84.39,155182.016
AZ,32.92,-111.50,156621.968
SC,32.99,-79.93,57333.402
SC,33.36,-81.03,1264365.374
TX,31.76,-106.38,29078.44
IL,41.71,-90.28,824204.296
NY,42.44,-76.48,146273.096
LA,29.96,-90.27,362117.176
NJ,39.50,-75.02,34735.118
AZ,34.58,-109.27,3944382.684
TX,27.81,-97.43,1140005.854
TX,27.81,-97.43,63420.004
MI,43.85,-82.65,59699.876
CA,38.02,-121.86,33911.972
LA,30.23,-91.07,357751.292
WA,46.95,-123.76,52801.064
CA,38.34,-121.12,1511019.4
MN,44.80,-92.91,373487.688
TX,30.26,-93.74,2194869.016
LA,30.84,-92.26,1068150.392
CA,33.75,-117.86,31320.032
TX,30.48,-97.40,25691.352
NY,43.08,-79.01,395868.138
CA,37.39,-121.14,101808.216
OK,36.13,-96.02,137368.106
TX,29.34,-98.65,314948.75
TX,29.76,-94.91,52760.752
WA,46.25,-122.78,288275.618
ND,47.22,-101.81,2797416.386
OR,45.85,-119.67,1238862.408
CO,40.46,-107.59,7831174.234
NC,35.13,-77.17,7283.54
IL,41.43,-87.62,21845.668
NY,41.68,-73.58,1888064.056
GA,31.96,-83.78,51708
DE,39.69,-75.54,42814.878
PA,40.66,-79.25,79550
SC,33.37,-80.11,7747272.258
MS,34.18,-90.56,53435.752
NY,41.20,-73.89,26482.4
MN,46.43,-94.07,39681.7
CO,39.75,-104.99,25451.604
FL,28.96,-82.70,9204483.35
MT,48.21,-104.39,51892.408
AL,34.02,-86.90,67506.25
TN,36.39,-87.65,10720119.63
NJ,39.38,-74.97,31748.08
CA,40.76,-124.09,12493
NM,32.71,-103.35,535685.564
UT,39.82,-111.89,1109373.588
FL,28.48,-81.17,5005320.754
TX,30.21,-97.72,72148.70066
SC,34.74,-82.39,18402.48
KY,37.45,-87.08,3250038.966
LA,31.32,-92.46,49744.712
FL,25.84,-80.36,250460.902
MI,46.34,-84.44,43647.1
AL,34.63,-87.04,723325.8911
SC,33.06,-79.94,77286.46
NC,34.98,-78.79,47400.872
SC,33.87,-81.02,91089.008
MS,30.23,-89.56,56828.936
SD,43.98,-96.95,99082.176
ND,46.26,-97.70,64289.442
TX,31.96,-106.35,34121.372
OK,35.71,-95.39,67883.144
IN,41.24,-85.83,19834.636
GA,34.65,-84.96,149102.75
NY,43.83,-75.90,56394.748
WI,43.05,-89.26,34507.936
KY,37.17,-85.92,26602.6
TX,32.43,-96.85,31665.826
NH,43.94,-71.82,43739.698
IN,38.68,-87.05,32197.85
DE,39.03,-75.73,51146
DE,39.73,-75.52,213309.75
DE,39.71,-75.53,20667.75
DE,38.60,-75.43,26565
GA,33.35,-82.14,249193.25
IN,39.35,-85.62,27822.834
MI,45.06,-83.42,92938.054
WI,43.09,-88.74,35023.762
IN,41.65,-86.90,3802.45
KS,39.04,-94.79,132890.1
OH,41.25,-84.41,73659
IL,41.90,-88.69,108462.54
CA,36.25,-119.65,29594.588
PA,40.36,-75.71,105017.5
MI,45.76,-87.13,41813.25
CA,33.91,-118.22,24730.856
MN,45.58,-95.91,43072.98
CO,39.65,-104.72,29311.008
CO,39.83,-104.70,33002.772
CO,40.02,-105.03,3605.25
IA,40.84,-91.19,61082.45
IL,42.07,-87.89,9601.75
MI,42.38,-83.26,26323.124
MI,42.28,-83.15,890846.1
TX,33.02,-96.96,141108.018
TX,28.46,-98.19,697298.982
CA,41.03,-121.68,29722.67
IA,43.37,-95.08,28864.1
WI,43.54,-89.10,83852.984
WV,38.40,-82.02,96198.848
MN,44.94,-93.10,39248.262
UT,40.73,-112.03,57848.25
WI,44.31,-89.90,262307.584
AR,33.64,-94.10,458752.408
KY,37.89,-86.69,165638.828
TN,36.55,-82.56,0
CA,35.49,-119.04,10077.664
NE,41.34,-96.11,29170.5
NE,41.38,-96.25,108560.986
OH,40.52,-81.47,89552.736
KY,38.71,-85.10,173939.796
KY,37.74,-87.98,66534.75
ME,44.08,-69.16,293967.91
NJ,40.84,-75.07,48342.858
SC,33.73,-79.81,31329.036
NC,35.66,-77.35,10117.912
NJ,39.37,-74.43,38535.602
KY,37.05,-88.35,199403.9
MI,42.77,-82.48,202472.7
MI,42.30,-83.23,135056.592
LA,30.06,-90.52,95255.792
IA,42.51,-90.68,13708.8
NC,36.01,-78.94,83859.432
MI,43.00,-82.42,20865.872
OH,39.56,-82.96,44633.228
DE,39.77,-75.57,42159.434
NC,35.33,-77.48,42689.34
ME,44.11,-69.10,31580.59
VA,37.35,-77.29,16248.688
NJ,39.39,-75.02,81376.904
NY,41.65,-73.94,42809.682
MO,39.43,-91.03,384704.618
GA,34.04,-83.40,129892.104
PA,41.12,-80.36,24156.66
TN,36.11,-87.42,58729.728
TX,32.77,-96.56,69443.288
TX,32.63,-96.85,28481.424
IL,39.75,-89.60,1302330.644
MI,43.64,-83.84,3409208.236
NC,36.49,-79.72,1620602.396
MS,30.53,-88.56,6172184.692
NY,41.57,-73.96,7966.672
OH,39.71,-83.18,235680.136
VA,37.50,-77.37,37218.972
WA,46.30,-120.02,38758.904
GA,32.58,-82.80,27769.102
KY,38.73,-84.41,26167.124
MS,32.16,-90.26,50396.942
TN,36.40,-88.99,44923.976
AR,36.27,-90.97,26877.548
TX,30.21,-97.30,25662.904
NE,41.22,-96.54,28586.892
MA,41.67,-71.00,18419.532
MT,46.11,-112.88,174369.904
WY,42.84,-105.78,4178558.612
IA,41.46,-90.70,799969.758
MS,32.80,-88.61,1513360.492
NC,35.85,-80.18,62937.75
WV,37.80,-81.94,0
IA,42.03,-93.58,1459.476
AZ,32.25,-110.99,856.396
LA,27.29,-89.03,106492.164
AK,60.81,-151.64,37434.894
TX,27.82,-94.32,12157.866
LA,27.94,-92.96,13790.814
LA,28.98,-91.47,1132.132
LA,28.81,-91.74,7658.526
LA,28.22,-91.69,11721.874
MD,38.38,-76.41,1132190.326
LA,30.04,-93.34,2854245.502
TX,27.89,-97.27,2995659.102
MA,42.39,-71.06,17517.638
PR,17.98,-66.76,1355299.96
TX,33.31,-97.88,167754.1137
