State,Latitude,Longitude,Total reported direct emissions
PA,40.21,-80.26,21432.254
AL,33.10,-86.80,908192.74
WV,39.43,-77.98,900616.712
AZ,33.42,-111.94,59497.476
KS,37.11,-101.03,103611.36
AR,35.79,-91.74,427193.956
AR,35.65,-91.24,52644.944
TX,30.06,-94.06,67258.296
TX,29.63,-95.06,88084.268
KY,37.06,-88.37,354507.8055
TX,30.05,-93.77,184580.304
PA,40.79,-79.70,191012.52
PA,40.06,-76.59,69725.736
FL,30.41,-87.25,25649.204
TX,35.28,-101.73,17255.536
AZ,33.00,-110.78,490.848
TX,29.26,-95.21,593858.664
SC,34.23,-82.06,49097.164
KS,37.70,-95.46,1325735.204
TX,32.52,-97.01,698098.408
OR,44.54,-117.42,690675.07
NE,41.01,-96.15,712440.52
MT,46.54,-111.92,316495.088
WA,47.57,-122.34,359053.99
AR,33.69,-94.42,887250.228
MO,38.64,-90.18,45150.78
NY,40.78,-73.90,2336285.338
TX,29.95,-95.25,288162.5
GA,33.93,-83.26,62365
NC,34.98,-80.51,49705.302
WI,42.95,-87.86,44801.932
UT,41.68,-112.43,48246.61
LA,30.07,-90.70,801660.976
NJ,39.42,-74.54,78462.998
VA,37.06,-77.18,138227.898
NY,42.95,-76.59,3461.598
KY,37.81,-87.63,46488.524
VA,38.08,-79.06,99412.8
TX,30.45,-97.72,213643.334
MI,42.78,-85.92,87154.848
NY,43.46,-75.41,71957.148
CA,36.01,-120.12,20199.75
CA,34.11,-117.93,116148.5
AZ,32.90,-111.78,24468.008
VA,37.13,-79.26,29560.188
SD,45.46,-98.50,36816.554
TX,32.52,-99.75,33240.5
TX,32.53,-99.75,185470.75
LA,30.43,-92.41,1976825.776
MS,33.38,-89.20,1326722.057
TX,33.18,-97.13,20869.272
TX,32.17,-96.02,22879.764
ID,43.72,-116.27,104893.222
LA,30.33,-91.28,291960
PA,40.01,-75.07,164946.48
IN,40.08,-85.66,323304
IL,40.84,-89.56,130137.56
CA,37.55,-120.92,74282.456
CA,35.09,-119.41,73893.22
CA,35.23,-119.58,105906.152
CA,35.30,-119.74,223856.156
CA,35.45,-119.72,1459910.352
CA,35.09,-119.41,10345.812
CA,35.30,-119.74,42868.088
CA,36.24,-120.32,167456.62
CA,35.09,-119.41,7844.42
CA,35.30,-119.74,130841.108
CA,35.09,-119.41,127122.172
CA,35.09,-119.41,22711.464
CA,36.26,-120.44,31542.332
CA,35.95,-120.86,228775.488
CA,35.23,-119.58,57457.884
NM,32.11,-106.85,281807.556
IA,42.40,-96.30,68650.492
SD,45.47,-98.41,53427.648
UT,40.72,-111.44,38014.216
ID,42.71,-114.53,32562.776
WI,44.56,-87.76,29204.888
SD,44.58,-97.21,43813.084
AZ,33.55,-112.22,78217.256
CA,34.04,-117.36,7742.672
WI,44.79,-89.69,199014.65
WI,45.64,-89.35,196113.616
WI,44.45,-88.07,52758.682
WA,48.47,-122.55,68887.4
TX,29.62,-95.05,437915.9
LA,30.20,-91.02,270671
TX,29.75,-94.91,869627.2
DE,39.58,-75.63,289537.7
TX,27.81,-97.46,153772.5
TX,29.72,-95.20,312547
TX,29.70,-95.07,110559.8
TX,29.86,-93.97,2629539.434
CA,38.01,-122.11,473077.6
CA,38.02,-122.12,364780.5
LA,30.02,-90.41,934628.6
LA,29.93,-90.35,711366.6
MI,42.29,-83.16,463317
LA,30.49,-91.16,738862.7
IL,41.42,-88.22,92081.4
PA,40.38,-75.15,3789.4
AK,54.13,-165.79,46017.472
AL,30.97,-88.02,27952.544
NC,35.93,-79.29,127969
TX,29.61,-98.38,821900.85
AK,61.18,-149.88,31016.544
GA,31.55,-84.11,9655.652
TX,29.64,-95.07,107422.24
NY,40.85,-73.84,29018.338
NY,44.97,-74.89,291896.58
TX,32.66,-97.32,31550.832
OK,34.89,-95.69,19149.75
TX,33.52,-101.79,3553.636
FL,25.71,-80.34,23080.372
CA,36.69,-119.55,66763.256
CT,41.92,-72.63,97460.03
NY,42.51,-78.07,7320.272
TN,35.07,-90.14,1486097.721
MN,45.03,-92.78,1410073.796
WV,37.87,-81.89,14275
CA,37.57,-120.99,228459.504
CA,35.38,-119.07,17355.484
PA,41.66,-76.81,17526.384
AL,34.64,-87.05,43348.436
MI,45.06,-84.83,510685.344
OH,41.66,-83.45,56853.104
IL,39.57,-90.44,31532.336
